1010101;贝罗斯(Lv.5+);1;3;5;0;0;0;0;0
1010102;艾丽娅斯(Lv.28+);1;3;28;0;0;0;0;0
1010103;上京(Lv.40+);1;3;40;0;0;0;0;0
1010104;奥亦齐(Lv.50+);1;3;50;0;0;0;0;0
1010105;职业进阶I(Lv.60+);1;3;60;0;0;0;0;0
1010201;艾尔法(Lv.65+);1;3;65;0;0;0;0;0
1010202;贝斯(Lv.85+);1;3;85;0;0;0;0;0
1010203;亚特兰蒂斯(Lv.110+);1;3;110;0;0;0;0;0
1010204;蛤蟆村(Lv.112+);1;3;112;0;0;0;0;0
1010301;艾尔法(Lv.130+);1;3;65;0;0;0;0;0
1010302;尘世城(Lv.140+);1;3;140;0;0;0;0;0
1010303;联合公会(Lv.140+);1;3;140;0;0;0;0;0
1010304;职业进阶II(Lv.200+);1;3;140;0;0;0;0;0
1010401;联合公会(Lv.200+);1;3;140;0;0;0;0;0
1010402;维塔城(Lv.230+);1;3;230;0;0;0;0;0
1010501;塞丽娜城(Lv.240+);1;3;240;0;0;0;0;0
1010502;联合公会(Lv.250+);1;3;140;0;0;0;0;0
1010503;维塔城(Lv.250+);1;3;230;0;0;0;0;0
1010504;修炼副本-夕阳森林(Lv.240+);1;3;240;0;0;0;0;0
1010505;修炼副本-地铁中枢(Lv.260+);1;3;260;0;0;0;0;0
1010601;奥斯库拉斯临时驻扎地(Lv.280+);1;3;280;0;0;0;0;0
1010602;里维拉自由城市(Lv.294+);1;3;280;0;0;0;0;0
1010603;修炼副本-里维拉市政厅(Lv.280+);1;3;280;0;0;0;0;0
1010604;修炼副本-魔法修炼馆(Lv.290+);1;3;290;0;0;0;0;0
1010701;联合公会(ULv.1+);1;3;140;0;0;0;0;0
1010702;复仇军临时驻地(ULv.1+);1;3;300;0;0;0;0;0
1010801;里维拉自由城市(Lv.294+);1;3;280;0;0;0;0;0
1010802;裘德王国东部国境(ULv.220+);1;3;300;0;1;578;220;0
1010901;风盖(ULv.400+);1;3;300;0;1;578;400;0
1011001;奈落城(ULv.650+);1;3;300;0;1;578;650;0
1011101;卡利(ULv.1000+);1;3;300;0;1;578;1000;0
1011102;埃斯尼尔(ULv.1200+);1;3;300;0;1;578;1200;0
1011103;风盖(ULv.1400+);1;3;300;0;1;578;400;0
1011104;马尔斯(ULv.1500+);1;3;300;0;1;578;1500;0
1011105;圣域艾多斯关口(ULv.1600+);1;3;300;0;1;578;1600;0
1011201;克罗索斯大道(ULv.2000+);1;3;300;0;1;578;2000;0
1011202;燃烧车轮(ULv.2000+);1;3;300;0;1;578;2000;0
1011203;圣域艾多斯关口(ULv.2400+);1;3;300;0;1;578;1600;0
1011204;内雷斯关卡(ULv.2600+);1;3;300;0;1;578;2600;0
1011301;奥尔卡利姆露营地(ULv.3000+);1;3;300;0;1;578;3000;0
1011302;利普特拉希尔(ULv.3200+);1;3;300;0;1;578;3200;0
1011303;艾丽西亚(ULv.3400+);1;3;300;0;1;578;3400;0
1011304;卢里亚村(ULv.3800+);1;3;300;0;1;578;3800;0
1011401;清晨酒吧街(ULv.4000+);1;3;300;0;1;578;4000;0
1011402;彼格利德(ULv.4200+);1;3;300;0;1;578;4200;0
10114031;尽头车站(ULv.4400+);1;3;300;0;1;578;4400;0
1011404;因弗涅尔安全地带(ULv.4600+);1;3;300;0;1;578;4600;0
14701;怪物大厦;1;3;10;0;0;0;0;0
14702;混乱世界;1;3;160;0;0;0;0;0
14703;繁星大厅;1;3;200;0;0;0;0;0
