2;2;5;448;30;1183;智海;0;0;120;0;0;0;0;0;0;0
2;2;5;449;30;1184;伊卡洛斯之翼;0;0;121;0;0;0;0;0;0;0
2;2;5;445;3;1160;铁之考验;8630116;8630117;119;0;0;0;0;0;0;0
2;2;5;444;3;1161;赫利波尔要塞;8630114;8630115;118;0;0;0;0;0;0;0
2;2;5;66103;5;1002;葬剑幻谷;8630112;8630113;117;0;0;0;0;0;0;0
2;2;5;440;5;1153;曼赤肯仓库;8630110;8630111;115;0;0;0;0;0;0;0
2;2;5;441;3;1154;翡翠世界;8630110;8630111;116;0;0;0;0;0;0;0
2;2;5;66102;5;1000;归元木匣;8630108;8630109;114;0;0;0;0;0;0;0
1;24;6;438;3;1140;普塞乌达里亚;0;0;0;0;0;0;0;0;0;0
2;2;5;1437;5;1141;被吞噬的魔法办公楼;8630106;8630107;113;0;0;0;0;0;0;0
2;2;5;427;3;1090;蘑菇树沼泽;8630102;8630103;109;0;0;0;0;0;0;0
2;2;5;428;3;1091;丽西泰亚之门;8630102;8630103;110;0;0;0;0;0;0;0
2;2;5;424;5;1084;摩克沙;8630100;8630101;107;0;0;0;0;0;0;0
2;2;5;425;3;1085;诺尼尔之泪;8630100;8630101;108;0;0;0;0;0;0;0
2;2;5;90085;3;546;薇娅斯梦境;8630098;8630099;106;0;0;0;0;0;0;0
2;2;5;417;3;1080;尼夫海姆站;8630096;8630097;104;0;0;0;0;0;0;0
2;2;5;418;5;1079;穆斯菲尔斯隧道;8630096;8630097;105;0;0;0;0;0;0;0
2;2;5;4350;30;1101;普累罗麻;0;0;112;0;0;0;0;0;0;0
2;2;5;434;5;1100;残缺边界;8630104;8630105;111;0;0;0;0;0;0;0
1;24;6;66101;3;661;魔发城堡;0;0;0;0;0;0;0;0;0;0
2;2;4;90077;3;970;群星宫殿;8630094;8630095;0;0;0;0;0;0;0;0
2;2;5;90074;3;967;水下培养皿·失魂寺;8630092;8630093;103;0;0;0;0;0;0;0
2;2;5;402;3;1062;埃吉尔遗迹;8630090;8630091;101;0;0;0;0;0;0;0
2;2;5;403;3;1061;阿特拉斯庭院;8630090;8630091;102;0;0;0;0;0;0;0
2;3;4;90065;3;965;时空之泉;8630088;8630089;0;0;0;0;0;0;0;0
1;24;6;294;3;382;珊瑚之歌;0;0;0;0;0;0;0;0;0;0
2;3;4;90068;3;964;穿梭之都;8630088;8630089;0;0;0;0;0;0;0;0
2;2;5;393;3;1050;黑月的考验;8630086;8630087;99;0;0;0;0;0;0;0
2;2;5;394;3;1046;大地的考验;8630086;8630087;100;0;0;0;0;0;0;0
2;2;5;385;3;1036;消失的星之歌;8630084;8630085;97;0;0;0;0;0;0;0
2;2;5;386;3;1037;黄昏教堂;8630084;8630085;98;0;0;0;0;0;0;0
2;2;5;384;3;1032;精灵树桩;8630082;8630083;96;0;0;0;0;0;0;0
2;2;5;383;3;1031;生命之恩泰莱凯;8630082;8630083;95;0;0;0;0;0;0;0
1;24;6;90056;3;898;泡泡战舰;0;0;0;0;0;0;0;0;0;0
